T,C0,C1,T_ns,T_ps
2240025000,224983,225689,2.240025,0.002240025
2240035000,224984,225690,2.240035,0.002240035
2240045000,224985,225691,2.240045,0.002240045
2240055000,224986,225692,2.240055,0.002240055
2240065000,224987,225693,2.240065,0.002240065
2240075000,224988,225694,2.240075,0.002240075
2240085000,224989,225695,2.240085,0.002240085
2240095000,224990,225696,2.240095,0.002240095
2240105000,224991,225697,2.240105,0.002240105
2240115000,224992,225698,2.240115,0.002240115
2240125000,224993,225699,2.240125,0.002240125
2240135000,224994,225700,2.240135,0.002240135
2240145000,224995,225701,2.240145,0.002240145
2240155000,224996,225702,2.240155,0.002240155
2240165000,224997,225703,2.240165,0.002240165
2240175000,224998,225704,2.240175,0.002240175
2240185000,224999,225705,2.240185,0.002240185
2240195000,225000,225706,2.240195,0.002240195
2240205000,225001,225707,2.240205,0.002240205
2240215000,225002,225708,2.240215,0.002240215
2240225000,225003,225709,2.240225,0.002240225
2240235000,225004,225710,2.240235,0.002240235
2240245000,225005,225711,2.240245,0.002240245
2240255000,225006,225712,2.240255,0.002240255
2240265000,225007,225713,2.240265,0.002240265
2240275000,225008,225714,2.240275,0.002240275
2240285000,225009,225715,2.240285,0.002240285
2240295000,225010,225716,2.240295,0.002240295
2240305000,225011,225717,2.240305,0.002240305
2240315000,225012,225718,2.240315,0.002240315
2240325000,225013,225719,2.240325,0.002240325
2240335000,225014,225720,2.240335,0.002240335
2240345000,225015,225721,2.240345,0.002240345
2240355000,225016,225722,2.240355,0.002240355
2240365000,225017,225723,2.240365,0.002240365
2240375000,225018,225724,2.240375,0.002240375
2240385000,225019,225725,2.240385,0.002240385
2240395000,225020,225726,2.240395,0.002240395
2240405000,225021,225727,2.240405,0.002240405
2240415000,225022,225728,2.240415,0.002240415
2240425000,225023,225729,2.240425,0.002240425
2240435000,225024,225730,2.240435,0.002240435
